geneId,label,cc,bc,ev,deg,cco,load,subg,harm,p_rank
WBGene00012030,1,0.4556578685103296,5.783953621275254e-05,0.0012256766911462494,856.0,0.31783352462152265,5.705448327128793e-05,inf,8795.300000000369,9.708271503489715e-05
WBGene00003123,1,0.4580306645843159,6.324178793602379e-05,0.001194330209834142,724.0,0.31083270290303605,6.520740005602664e-05,inf,8786.883333333779,8.438437021782014e-05
WBGene00011883,1,0.4087060422659857,4.732365062227361e-06,0.00015792055159331625,168.0,0.5268035357855717,6.565435746818873e-06,inf,7826.492857140648,2.7180755958501168e-05
WBGene00021270,1,0.4267054730030708,2.785151157609397e-05,0.0009210693865608023,693.0,0.5435319337053441,3.094271546106537e-05,inf,8315.433333331614,7.908285671281824e-05
WBGene00020558,1,0.3927787303176152,2.0939080840661525e-06,7.855442855206633e-05,56.0,0.4032467532467533,3.5393011965379462e-06,inf,7508.149999997415,1.6074327634413373e-05
WBGene00000833,1,0.4802198032569181,0.00044175486050428565,0.003172477689041856,1477.0,0.1837534150561546,0.0004050402959943942,inf,9335.283333334855,0.00018094505293279962
WBGene00012888,1,0.4347508902396808,2.4253136358051606e-05,0.0007848493046871228,545.0,0.540420939017809,2.677132746719854e-05,inf,8393.133333332109,6.550704443756343e-05
WBGene00004271,1,0.4801942256375703,0.0005748025686848477,0.00288699043766004,1219.0,0.14238029233361754,0.0005543041445174404,inf,9246.96666666806,0.0001587338421157651
WBGene00013709,1,0.4549680352414908,7.824480216362264e-05,0.0020246703642696207,616.0,0.20636680392777956,7.708851317752976e-05,inf,8714.766666666867,7.833868960976588e-05
WBGene00020604,1,0.4358648546663144,1.4160646839335917e-05,0.0003913098135465039,259.0,0.17871359731824848,1.4140874179626275e-05,inf,8302.216666665327,3.717858505226215e-05
WBGene00004305,1,0.44757100733960736,4.470585078364982e-05,0.0009626021483995932,574.0,0.2170433746222279,4.673804629119627e-05,inf,8585.883333333002,7.106811915085476e-05
WBGene00001746,1,0.4880313198010871,0.00042189802670874636,0.005895052519976704,1499.0,0.1772254043861907,0.0003701383860916489,inf,9440.283333334542,0.0001763628906558002
WBGene00006382,1,0.4626848983267241,7.255182397606387e-05,0.0012789992225186305,742.0,0.2814074373160768,7.474376914721417e-05,inf,8854.633333334075,8.967939432349956e-05
WBGene00012553,1,0.4309685502208648,3.5924230824951835e-05,0.0013822198189458272,460.0,0.2836127687790092,3.747672211433721e-05,inf,8306.776190474653,6.0351477405507005e-05
WBGene00013144,1,0.4574960843551814,8.880215738422758e-05,0.002749809655686301,814.0,0.3289058934815393,9.090989009198806e-05,inf,8809.050000000465,8.991320864105969e-05
WBGene00006391,1,0.4493332296516425,5.3794322877938457e-05,0.0008332639993250328,608.0,0.2696989074828752,5.6756927727934964e-05,inf,8623.683333333141,7.443602547406103e-05
WBGene00001832,1,0.4172172051619872,9.994187500194363e-06,0.0005507409811140097,334.0,0.5242128355900811,1.2849719505840746e-05,inf,8042.159523807621,4.388470238090775e-05
WBGene00001814,1,0.4563151505172912,0.000107594834459994,0.0006077313342972528,811.0,0.3246746129606796,0.00010553259354718634,inf,8789.750000000386,0.00012214006716839123
WBGene00021095,1,0.4346041884039327,0.0001231186224508289,0.0002267612887079728,541.0,0.3706099815157117,0.0001288523179688467,inf,8374.549999998724,9.622515922758001e-05
